,PN,REF,ISD,CPC,IPC,b_cits
212,6729884,126,2004-05-04,1,3,"['4856788', '4913446', '5826878', '5839976', '5954510', '5971855', '6032957', '6061656', '6106300', '6120300', '6178407', '6196920', '6386881']"
213,6693815,6,2004-02-17,2,3,"['6362993', '6577520']"
214,7668691,7,2010-02-23,1,1,"['6522266', '6716101', '7099921', '7243134', '2004/0172403', '2004/0252027', '2005/0033200', '2005/0256635', '2007/0010720']"
215,7660778,14,2010-02-09,1,1,"['4622013', '4714254', '4847784', '4891766', '4905163', '4931950', '4941102', '4964077', '4977529', '5002491', '5059127', '5170464', '5189402', '5208745', '5208898', '5239617', '5259766', '5267865', '5297280', '5301260', '5302132', '5310349', '5311422', '5317688', '5326270', '5359571', '5372507', '5395243', '5441415', '5491743', '5533903', '5535422', '5537141', '5539869', '5566291', '5576844', '5577186', '5590057', '5597312', '5616033', '5630127', '5644334', '5644686', '5644727', '5673369', '5690496', '5696885', '5701400', '5720007', '5727161', '5727950', '5745652', '5749736', '5772446', '5779468', '5788504', '5788508', '5791907', '5799151', '5799292', '5806056', '5809212', '5810747', '5822745', '5823781', '5823788', '5835683', '5868575', '5870768', '5875437', '5889845', '5893123', '5899985', '5907844', '5911581', '5937190', '5963910', '5974446', '5987443', '6000945', '6003021', '6003143', '6005566', '6015348', '6016486', '6016497', '6018346', '6018730', '6018731', '6018732', '6023691', '6023692', '6026386', '6029156', '6029158', '6029159', '6032141', '6033226', '6039575', '6057841', '6058387', '6064968', '6064998', '6067537', '6067538', '6073127', '6077085', '6081262', '6085184', '6101489', '6125358', '6134539', '6230153', '6253195', '6260033', '6286017', '6293801', '6295613', '6333999', '6353923', '6411936', '6611822', '2002/0161777', '2003/0106040']"
216,7647645,29,2010-01-12,4,4,"['6134657', '6708212', '7007067', '7149698', '2003/0084345', '2003/0200464', '2004/0103296', '2004/0117371', '2004/0210661', '2004/0239700', '2005/0097364', '2006/0026159', '2006/0117384', '2006/0235948', '2007/0156677']"
217,7647339,9,2010-01-12,6,1,['NULL']
218,7647294,1,2010-01-12,3,2,"['1261167', '4453217', '4833610', '5606690', '5619709', '5724597', '5737723', '5761388', '6018736', '6026398', '6105023', '6134532', '6256630', '6924822', '6963871', '7015910', '7069518', '7139982', '7240291', '7248269', '7493572', '2002/0083101', '2002/0099536', '2002/0113802', '2002/0113823', '2002/0118230', '2002/0178002', '2003/0052900', '2003/0172066', '2004/0153407', '2004/0260694', '2005/0005245', '2005/0005246', '2005/0273468', '2007/0005567', '2008/0133522']"
219,7636632,5,2009-12-22,1,2,"['5177685', '5948042', '6047234', '6154152', '6163750', '6230098', '6233520', '6253152', '6256578', '6381537', '6516273', '6526350', '6581004', '6662105', '6711473', '6721654', '2005/0102098']"
220,7627632,18,2009-12-01,10,7,"['5056031', '5408598', '5695400', '5755620', '5816913', '5899810', '6042477', '6094677', '6256047', '6415317', '6417854', '6443733', '6708142', '6947761', '7004839', '2003/0177187', '2004/0029638', '2004/0075677', '2004/0121829', '2005/0026692', '2005/0059491', '2005/0192098', '2006/0135258', '2006/0154713', '2007/0027583', '2007/0078918']"
221,7584024,16,2009-09-01,1,1,"['3898441', '5167009', '5181482', '5212765', '5282261', '5386373', '5781432', '5933345', '6243696', '6278899', '6325025', '6425352', '6438430', '6725208', '6736089', '6738677', '7117046', '2004/0244729', '2004/0249480']"
222,7562059,13,2009-07-14,9,1,"['5059127', '5117353', '5164897', '5170362', '5197004', '5325862', '5326270', '5408588', '5416694', '5461699', '5467428', '5490097', '5551880', '5565316', '5592375', '5618182', '5671409', '5722418', '5727128', '5774883', '5788504', '5827070', '5832497', '5885087', '5978768', '5980096', '6035295', '6056556', '6070143', '6086382', '6115646', '6126448', '6144838', '6189029', '6213780', '6259890', '6266659', '6289340', '6311164', '6338628', '6341267', '6370510', '6385620', '6405159', '6442370', '6466914', '6484010', '6493723', '6513042', '6514079', '6514084', '6524109', '6567784', '6611822', '6618734', '6640216', '6681098', '6691122', '6728695', '6735570', '6769066', '6795799', '6853966', '6873964', '6944596', '7080057', '7200563', '7310626', '7356484', '2001/0011280', '2001/0031457', '2001/0042000', '2002/0019940', '2002/0042786', '2002/0046199', '2002/0055866', '2002/0072946', '2002/0128892', '2002/0128893', '2002/0128894', '2002/0198766', '2003/0037032', '2003/0101091', '2003/0191680', '2003/0195786', '2003/0200136']"
223,7559045,12,2009-07-07,3,1,['NULL']
224,7558807,2,2009-07-07,6,1,['NULL']
225,7558767,7,2009-07-07,9,1,"['5059127', '5117353', '5164897', '5170362', '5197004', '5325862', '5326270', '5408588', '5416694', '5461699', '5467428', '5490097', '5551880', '5565316', '5592375', '5618182', '5671409', '5722418', '5727128', '5774883', '5788504', '5827070', '5832497', '5885087', '5978768', '5980096', '6035295', '6056556', '6070143', '6086382', '6115646', '6126448', '6144838', '6189029', '6213780', '6259890', '6266659', '6289340', '6311164', '6338628', '6341267', '6370510', '6385620', '6405159', '6442370', '6466914', '6484010', '6493723', '6513042', '6514079', '6514084', '6524109', '6567784', '6611822', '6618734', '6640216', '6681098', '6691122', '6728695', '6735570', '6769066', '6795799', '6853966', '6873964', '6944596', '7080057', '7200563', '7310626', '7356484', '2001/0011280', '2001/0031457', '2001/0042000', '2002/0019940', '2002/0046199', '2002/0055866', '2002/0072946', '2002/0128892', '2002/0128893', '2002/0128894', '2002/0198766', '2003/0037032', '2003/0101091', '2003/0191680', '2003/0195786', '2003/0200136']"
226,7558671,5,2009-07-07,1,3,"['6529827', '7406379', '2004/0054460', '2005/0131639', '2007/0005243']"
227,7536363,2,2009-05-19,2,7,"['4622013', '4847784', '4874784', '4891766', '4931950', '4964077', '4977529', '5002491', '5051923', '5170464', '5189402', '5208745', '5208898', '5239617', '5257185', '5259766', '5267865', '5310349', '5311422', '5317688', '5326270', '5359701', '5372507', '5395243', '5441415', '5491743', '5533903', '5535422', '5537141', '5539869', '5566291', '5576844', '5577186', '5597312', '5616033', '5644686', '5644727', '5673369', '5675752', '5690496', '5692213', '5694601', '5696885', '5701400', '5720007', '5727161', '5727950', '5745103', '5745652', '5748190', '5772446', '5779468', '5781186', '5788508', '5791907', '5799151', '5799292', '5806056', '5810747', '5822525', '5822745', '5823781', '5823788', '5827070', '5835683', '5836771', '5868575', '5870768', '5875437', '5889845', '5893123', '5911581', '5974446', '5987443', '6003021', '6014134', '6015348', '6016486', '6018730', '6018731', '6018732', '6023691', '6023692', '6026386', '6029156', '6029158', '6029159', '6032141', '6064998', '6067537', '6067538', '6073127', '6085184', '6101489', '6125358', '6134539', '6434447', '2002/0198858']"
228,7536231,7,2009-05-19,5,1,"['4813000', '5410637', '5548697', '5774230', '5841421', '5907495', '6108095', '6342952', '6522977', '6563510', '2003/0163262']"
229,7523079,2,2009-04-21,2,1,"['4815005', '4912648', '5353371', '5434777', '5802508', '5870751', '5905991', '6151679', '6681017', '6789054', '6944603', '2002/0188436', '2004/0205035']"
230,7516063,2,2009-04-07,3,1,"['4384329', '5056021', '5708822', '5737732', '5794050', '5838965', '5873056', '5995955', '6026388', '6101490', '6233580', '6332143', '7016905', '2004/0024739']"
231,7513460,16,2009-04-07,4,1,['NULL']
232,7513459,20,2009-04-07,4,1,['NULL']
233,7512570,5,2009-03-31,1,2,"['6615253', '6636242', '6640238', '6640244', '6640249', '6691166', '6715145', '6742015', '6804258', '6842906', '6886058', '6956900', '7080101', '7164117', '7197690', '7249291', '7289964', '7313782', '7328625', '7331035', '7367011', '7370265', '7380005', '7383487', '7421660', '7444301', '2003/0176931', '2003/0225534', '2005/0165788', '2006/0080040']"
234,7510110,26,2009-03-31,7,1,"['3858212', '4949299', '5613228', '5621199', '5629981', '5701127', '5703347', '5785181', '5822714', '5874724', '5874896', '5905249', '5910776', '5949335', '5963134', '5964656', '5971587', '5973600', '6049745', '6091998', '6116505', '6121878', '6144301', '6150948', '6154790', '6169483', '6170059', '6172609', '6205362', '6211789', '6263440', '6264106', '6265976', '6272321', '6275681', '6282407', '6285295', '6286762', '6286763', '6293467', '6305548', '6307517', '6317027', '6318636', '6342839', '6354493', '6362738', '6366206', '6377176', '6377203', '6392544', '6400272', '6401936', '6409401', '6415978', '6429776', '6445297', '6445969', '6448886', '6451154', '6476708', '6480100', '6484886', '6486780', '6501382', '6505780', '6517000', '6523752', '6529880', '6547040', '6549064', '6554187', '6563425', '6566997', '6585165', '6593853', '6600418', '6607123', '6608551', '6608561', '6612495', '6617962', '6621417', '6622567', '6641042', '6650227', '6664897', '6669089', '6672512', '6677852', '6687293', '6693539', '6700931', '6707376', '6712276', '6714121', '6724308', '6726099', '6745008', '6747560', '6750769', '6752277', '6784789', '6784813', '6791603', '6793127', '6802659', '6808116', '6809646', '6812838', '6828902', '6842106', '6847856', '6853294', '6853303', '6859757', '6870797', '6873260', '6879809', '6888459', '6899476', '6901304', '6903656', '6917291', '6918541', '6929412', '6940408', '6943678', '6943688', '6967579', '6992574', '6999955', '7023342', '7057509', '7061379', '7066388', '7066687', '7069100', '7073712', '7075412', '7079023', '7084769', '7114655', '7151456', '7165722', '7183922', '7187288', '7195159', '7212637', '7221258', '7230730', '7336167', '7336243', '2001/0000019', '2001/0008390', '2002/0005774', '2002/0067265', '2002/0070862', '2002/0130778', '2002/0143320', '2002/0165758', '2002/0167397', '2002/0185532', '2003/0007473', '2003/0023337', '2003/0102367', '2003/0109951', '2003/0169149', '2004/0024644', '2004/0032443', '2004/0061324', '2004/0062294', '2004/0066281', '2004/0069851', '2004/0095910', '2004/0108378', '2004/0124988', '2004/0189442', '2004/0220860', '2005/0012613', '2005/0021369', '2005/0035849', '2005/0040934', '2005/0052283', '2005/0058483', '2005/0083180', '2005/0088299', '2005/0092825', '2005/0093678', '2005/0110641', '2005/0140511', '2005/0143916', '2005/0145688', '2005/0149414', '2005/0154572', '2005/0155213', '2005/0159913', '2005/0162256', '2005/0170784', '2005/0177423', '2005/0179521', '2005/0180566', '2005/0190098', '2005/0200457', '2005/0206552', '2005/0206555', '2005/0212660', '2005/0212673', '2005/0212676', '2005/0219039', '2005/0228528', '2005/0237162', '2005/0240305', '2005/0253717', '2005/0253718', '2005/0258955', '2005/0269407', '2006/0006231', '2006/0027658', '2006/0038077', '2006/0049250', '2006/0053234', '2006/0071774', '2006/0125653', '2006/0145850', '2006/0170565', '2006/0208859', '2006/0279412', '2007/0008073', '2007/0013517', '2007/0013519', '2007/0035396', '2007/0040681', '2007/0063029', '2007/0159311', '2007/0205860', '2007/0205861']"
235,7493295,5,2009-02-17,2,2,"['4979126', '4994982', '5093899', '5136686', '5140530', '5214746', '5245696', '5249259', '5283855', '5349646', '5375250', '5398302', '5400436', '5402522', '5428710', '5452402', '5455891', '5459817', '5485601', '5515477', '5566273', '5568590', '5590218', '5617483', '5633988', '5640494', '5704016', '5717832', '5720002', '5729662', '5761381', '5812992', '5832466', '5835901', '5841949', '5864832', '5870728', '5870729', '5920851', '5930781', '5937432', '5974404', '6038338', '6151592', '6205556', '6269351', '6349293', '6366897', '6415272', '6424961', '6449603', '6493686', '6516309', '6523016', '6553357', '6601053', '6658645', '7139740', '2002/0059154', '2002/0069036', '2002/0082065', '2002/0138246', '2003/0004904', '2003/0014378', '2003/0018598']"
236,7464753,3,2008-12-16,1,1,"['4150721', '4352376', '4354524', '4355365', '4532952', '4633954', '4685522', '4921048', '4989671', '5132904', '5146991', '5785123', '5878817', '5957200', '5984013', '6012015', '6241014', '6595287', '6719060', '7243730', '2004/0104027', '2007/0012442']"
237,7454783,28,2008-11-18,1,2,"['5995965', '6189105', '6339828', '6385729', '6389542', '6434700', '6484174', '6505238', '6532518', '6539093', '6581122', '6587949', '6589290', '6662340', '6763399', '7200804']"
238,7440447,5,2008-10-21,4,1,['NULL']
239,7438264,16,2008-10-21,4,1,['NULL']
240,7437344,48,2008-10-14,18,5,"['4232334', '4842523', '5751829', '6091836', '6260024', '6293284', '6707929', '6719565', '6761697', '7324668', '2001/0011818', '2001/0014868', '2002/0019763', '2002/0024528', '2002/0035611', '2002/0054714', '2003/0061202']"
241,7433852,13,2008-10-07,3,6,"['4541056', '4589068', '4622013', '4874784', '4891766', '4931950', '4964077', '4977529', '5002491', '5164912', '5170464', '5189402', '5208745', '5208898', '5239617', '5259766', '5267865', '5306154', '5310349', '5311422', '5317688', '5326270', '5359701', '5372507', '5395243', '5441415', '5491743', '5528516', '5533903', '5535422', '5537141', '5539869', '5566291', '5576844', '5577186', '5581749', '5597312', '5616033', '5627958', '5644686', '5644727', '5673369', '5690496', '5696885', '5701400', '5720007', '5727128', '5727161', '5727950', '5745652', '5772446', '5779468', '5788504', '5788508', '5791907', '5799151', '5799292', '5806056', '5810747', '5822745', '5823781', '5823788', '5835683', '5862322', '5868575', '5870768', '5875437', '5889845', '5893123', '5911581', '5920725', '5974446', '5987443', '6003021', '6015348', '6016486', '6018730', '6018731', '6018732', '6023691', '6023692', '6026386', '6029156', '6029158', '6029159', '6032141', '6064998', '6067537', '6067538', '6073127', '6085184', '6101489', '6125358', '6134539', '6185729', '6324683', '6345383']"
242,7428518,6,2008-09-23,2,1,"['4622013', '4874784', '4931950', '4964077', '4977529', '4981766', '5002491', '5117356', '5170464', '5189402', '5208745', '5208898', '5239617', '5259766', '5267865', '5310349', '5311422', '5317688', '5326270', '5359701', '5372507', '5390113', '5395243', '5441415', '5491743', '5533903', '5535422', '5537141', '5539869', '5566291', '5576844', '5577186', '5597312', '5616033', '5644686', '5644727', '5673369', '5690496', '5696885', '5701400', '5720007', '5727161', '5727950', '5745652', '5772446', '5779468', '5788508', '5791907', '5799151', '5799292', '5806056', '5810747', '5822745', '5823781', '5823788', '5835683', '5868575', '5870768', '5875437', '5889845', '5893123', '5911581', '5974446', '5987443', '6003021', '6015348', '6016486', '6018730', '6018731', '6018732', '6023691', '6023692', '6026386', '6029156', '6029158', '6029159', '6032141', '6064998', '6067537', '6067538', '6073127', '6085184', '6101489', '6119097', '6125358', '6134539']"
243,7403922,242,2008-07-22,11,1,"['3657702', '3950733', '4044243', '4254474', 'RE30579', 'RE30580', '4305059', '4326259', '4485300', '4510382', '4528643', '4578530', '4594663', '4734564', '4734858', '4755935', '4755940', '4760604', '4792968', '4795890', '4799156', '4812628', '4827508', '4845739', '4893330', '4897811', '4922521', '4935870', '4947028', '4949257', '4958375', '4977595', '4982346', '4992940', '5025373', '5060153', '5077607', '5175682', '5177342', '5206488', '5220501', '5231570', '5245657', '5247575', '5253341', '5255342', '5291550', '5305195', '5311594', '5321751', '5335265', '5336870', '5341429', '5347632', '5351186', '5351293', '5351296', '5377269', '5383113', '5386104', '5398300', '5410138', '5414833', '5420405', '5436971', '5471627', '5475585', '5479574', '5491817', '5495521', '5500513', '5511122', '5515307', '5530438', '5542054', '5557518', '5590197', '5596642', '5596643', '5604802', '5608801', '5621797', '5623547', '5627886', '5627972', '5629982', '5642419', '5646998', '5671280', '5675713', '5680511', '5696907', '5696909', '5701398', '5703949', '5704018', '5708422', '5710887', '5715314', '5724424', '5729594', '5732400', '5745654', '5757917', '5758327', '5768478', '5790645', '5793302', '5802256', '5802497', '5805686', '5809144', '5812668', '5815657', '5819226', '5822737', '5826245', '5832465', '5850442', '5862224', '5870473', '5875236', '5877482', '5878139', '5878337', '5884289', '5897621', '5899980', '5905736', '5910988', '5936541', '5940529', '5953710', '5970129', '5970469', '5974148', '5988497', '5995604', '6000608', '6012042', '6018723', '6029154', '6032137', '6061791', '6067535', '6068184', '6078904', '6094643', '6119103', '6119227', '6125445', '6163604', '6182070', '6189005', '6278997', '6330546', '6336108', '6345265', '6363488', '6389402', '6405179', '6418436', '6430539', '6516056', '6529888', '6536037', '6609118', '6611598', '6629081', '6714918', '7069234', '7089428', '7167844', '2001/0029496', '2002/0078381', '2003/0023543', '2003/0097292']"
244,7401295,5,2008-07-15,2,1,['NULL']
245,7391333,19,2008-06-24,1,2,"['4246101', '4323992', '6560543', '6591166', '6954701', '2003/0236649', '2005/0043059']"
246,7386524,4,2008-06-10,3,1,"['4622013', '4847784', '4891766', '4931950', '4964077', '4977529', '5002491', '5170464', '5189402', '5208745', '5208898', '5239617', '5259766', '5267865', '5310349', '5311422', '5317688', '5326270', '5359701', '5372507', '5395243', '5441415', '5491743', '5533903', '5535422', '5537141', '5539869', '5566291', '5576844', '5577186', '5597312', '5616033', '5644686', '5644727', '5673369', '5690496', '5696885', '5701400', '5720007', '5727161', '5727950', '5745652', '5772446', '5779486', '5788508', '5791907', '5799151', '5799292', '5806056', '5810747', '5822745', '5823781', '5823788', '5835683', '5868575', '5870768', '5875437', '5889845', '5893123', '5911581', '5974446', '5987443', '6003021', '6015348', '6016486', '6018730', '6018731', '6018732', '6023691', '6023692', '6026386', '6029156', '6029158', '6029159', '6032141', '6064998', '6067537', '6067538', '6073127', '6085184', '6101489', '6125358', '6134539']"
247,7328177,56,2008-02-05,8,1,"['5724522', '5729699', '5943049', '6091417', '6307568', '6310627', '6317718', '6327588', '6384835', '6397212', '6404426', '6412012', '6490602']"
248,7319992,97,2008-01-15,17,1,['NULL']
249,7317406,51,2008-01-08,2,1,"['1195583', '3275984', '4908615', '5444442', '5617086', '5777564', '5917432', '6008741', '6198410', '6204778', '6281808', '6307484', '6351208', '6516273', '6559774', '6633238', '6662099']"
250,7310626,33,2007-12-18,9,2,"['5059127', '5117353', '5164897', '5170362', '5197004', '5326270', '5416694', '5461699', '5490097', '5551880', '5565316', '5592375', '5618182', '5671409', '5722418', '5727128', '5774883', '5788504', '5827070', '5832497', '5885087', '5978768', '5980096', '6035295', '6056556', '6070143', '6086382', '6115646', '6126448', '6144838', '6189029', '6213780', '6259890', '6266659', '6289340', '6311641', '6338628', '6341267', '6370510', '6385620', '6442370', '6466914', '6484010', '6493723', '6513042', '6514079', '6514084', '6524109', '6567784', '6611822', '6618734', '6640216', '6681098', '6691122', '6735570', '6769066', '6873964', '6944596', '2001/0011280', '2001/0031457', '2001/0042000', '2002/0019940', '2002/0042786', '2002/0046199', '2002/0055866', '2002/0072946', '2002/0128892', '2002/0128893', '2002/0128894', '2002/0198766', '2003/0037032', '2003/0101091', '2003/0191680', '2003/0195786', '2003/0200136']"
251,7295608,107,2007-11-13,23,1,"['5481297', '5517246', '5539908', '5596659', '5649030', '5684714', '5822465', '6002720', '6031939', '6085236', '6115755', '6157965', '6195692', '6212302', '6243676', '6252544', '6349151', '6356545', '6356589', '6356668', '6421726', '6587638', '6624761', '6968006', '7130472', '2002/0062482', '2002/0097917', '2003/0133501']"
252,7293743,24,2007-11-13,4,1,['NULL']
253,7280991,74,2007-10-09,2,2,"['4622013', '4847784', '4891766', '4931950', '4964077', '4977529', '5002491', '5170464', '5189402', '5208745', '5208898', '5239617', '5259766', '5267865', '5310349', '5311422', '5317688', '5326270', '5359571', '5372507', '5395243', '5441415', '5491743', '5533903', '5535422', '5537141', '5539869', '5566291', '5576844', '5577186', '5597312', '5616033', '5644686', '5644727', '5673369', '5690496', '5696885', '5701400', '5720007', '5727161', '5727950', '5745652', '5772446', '5779486', '5788508', '5791907', '5799151', '5799292', '5806056', '5810747', '5822745', '5823781', '5823788', '5835683', '5868575', '5870768', '5875437', '5889845', '5893123', '5911581', '5974446', '5987443', '6003021', '6015348', '6016486', '6018730', '6018731', '6018732', '6023691', '6023692', '6026386', '6029156', '6029158', '6029159', '6032141', '6064998', '6067537', '6067538', '6073127', '6085184', '6101489', '6125358', '6134539']"
254,7260560,10,2007-08-21,8,2,"['6195626', '6199030', '6487304', '6763325']"
255,7257470,8,2007-08-14,1,1,"['3318146', '4096744', '4303978', '4378696', '4378697', '4615213', '4644538', '4836019', '4987542', '5205169', '5319970', '5369993', '5423209', '5485412', '5610845', '5616861', '5710559', '5797105', '5819188', '5901272', '6073084', '6253166', '6305218', '6466888', '6561020', '6594559', '6604029', '6609421', '6668640', '6761057', '2003/0050766', '2004/0122615', '2006/0155506', '2006/0212181']"
256,7255062,15,2007-08-14,1,1,"['4064852', '4507588', '4745337', '5304277', '5797563', '6054016', '6247671', '6667577']"
257,7240879,41,2007-07-10,4,1,['NULL']
258,7237080,30,2007-06-26,4,2,"['5151990', '5418916', '5559984', '5644751', '5649152', '5675782', '5963959', '6041394', '6289335', '6473775', '6629203', '6763411', '6763412', '6813312', '6862638', '6865629', '6868465', '6879981', '6981114', '2002/0064113', '2002/0103804', '2002/0133537', '2002/0133747', '2003/0023822', '2003/0115408', '2003/0182253', '2003/0182527', '2003/0220929', '2003/0220948', '2003/0220949', '2004/0117646']"
259,7237075,86,2007-06-26,5,2,"['5151990', '5418916', '5559984', '5675782', '5963959', '6041394', '6289335', '6473775', '6629203', '6813312', '6879981', '6981114', '2002/0064113', '2002/0103804', '2002/0133537', '2003/0023822', '2003/0115408', '2003/0182253']"
260,7233936,6,2007-06-19,3,3,"['5267348', '5544256', '5784534']"
261,7231652,10,2007-06-12,1,7,"['5444499', '5749081', '5758257', '5801747', '5867226', '6000018', '6020883', '6119112', '6134532', '6177931', '6370513', '6418424', '6721953', '6727914', '6862253', '6898762', '6934964', '7051352', '2002/0046402', '2002/0075320', '2002/0104087']"
262,7206772,5,2007-04-17,2,3,"['5133046', '6405200', '6529895']"
263,7200520,2,2007-04-03,3,1,"['3852641', '5109380', '5642000', '6181759', '6278962', '6353815', '6438430', '2002/0072828', '2002/0133320', '2004/0044442']"
264,8126824,0,2012-02-28,5,1,['NULL']
265,8122093,1,2012-02-21,4,1,['NULL']
266,8121892,17,2012-02-21,11,1,"['5485409', '5701400', '5784539', '5850516', '5892903', '5978784', '5991743', '6021404', '6064972', '6076166', '6088801', '6092060', '6098047', '6112190', '6151581', '6151584', '6158010', '6161101', '6237786', '6298445']"
267,8107693,7,2012-01-31,7,1,"['4817050', '5692107', '5733729', '5769074', '5779634', '5837832', '5839438', '5861242', '5878746', '5911687', '5936078', '5966712', '5970500', '5981185', '6004755', '6040138', '6063026', '6083726', '6087112', '6136541', '6263287', '6338968', '7062076']"
268,8101907,9,2012-01-24,2,1,"['3521064', '3971935', '3976878', '4263509', '4317993', '4645926', '4646240', '4712424', '4722220', '4773264', '4890486', '4903527', '4910758', '5086224', '5440118', '5471057', '5786595', '6044327', '6140816', '6718265', '6927390', '2006/0033022', '2006/0033023']"
269,8095496,0,2012-01-10,4,3,"['7668621', '7693836', '7698270', '7702690', '7721336', '7788109', '7801644', '7856446', '7870153', '7899915', '7949677', '7954150', '2005/0071306']"
270,8078330,88,2011-12-13,14,1,"['4023043', '4583090', '4661914', '4695738', '4855922', '4916328', '5414640', '5462225', '5543667', '5544036', '5565855', '5572438', '5576700', '5579993', '5627760', '5640153', '5682949', '5708590', '5924486', '5927598', '5930773', '5962989', '5971597', '6047274', '6095426', '6098893', '6145751', '6167389', '6178362', '6185483', '6216956', '6388564', '6263260', '6301527', '6311105', '6327541', '6366889', '6785592', '2001/0025209']"
271,8069124,1,2011-11-29,6,1,"['7739479', '7895411', '2004/0263693', '2004/0266526', '2007/0085851', '2008/0259081', '2010/0235608']"
272,8068132,1,2011-11-29,5,2,['NULL']
273,8065333,0,2011-11-22,3,1,['NULL']
274,8063295,15,2011-11-22,8,1,['NULL']
275,8056129,4,2011-11-08,5,1,"['5937159', '2004/0034788', '2004/0073813', '2005/0015257', '2005/0065802', '2005/0091388', '2005/0120201', '2005/0193208', '2006/0168202', '2008/0209223']"
276,8053659,19,2011-11-08,8,1,['NULL']
277,8046278,0,2011-10-25,4,1,"['3628904', '5675746']"
278,8046251,11,2011-10-25,9,1,"['5059127', '5117353', '5164897', '5170362', '5197004', '5325862', '5326270', '5408588', '5416694', '5461699', '5467428', '5490097', '5551880', '5565316', '5592375', '5608620', '5618182', '5671409', '5722418', '5727128', '5774883', '5788504', '5827070', '5832497', '5885087', '5978768', '5980096', '6035295', '6056556', '6070143', '6086382', '6115646', '6126448', '6144838', '6189029', '6213780', '6259890', '6266659', '6289340', '6311164', '6338628', '6341267', '6370510', '6385620', '6405159', '6442370', '6466914', '6484010', '6493723', '6513042', '6514079', '6514084', '6524109', '6567784', '6611822', '6618734', '6640216', '6681098', '6691122', '6728695', '6735570', '6769066', '6795799', '6853966', '6873964', '6944596', '7080057', '7200563', '7310626', '7356484', '7558767', '7562059', '2001/0011280', '2001/0031457', '2001/0042000', '2002/0019747', '2002/0019940', '2002/0042786', '2002/0046199', '2002/0055866', '2002/0072946', '2002/0128892', '2002/0128893', '2002/0128894', '2002/0198766', '2003/0037032', '2003/0101091', '2003/0191680', '2003/0195786', '2003/0200136', '2009/0187446', '2010/0042574', '2010/0287110', '2010/0287111']"
279,8041667,11,2011-10-18,5,2,"['5794207', '6052667', '6085169', '6119100', '6223163', '6230150', '6267670', '6298329', '6298331', '6507279', '6553346', '6567787', '6598024', '7028894', '7072850', '7248855', '7272569', '7318041', '7437344', '7542919', '7677974', '7689508', '7739140', '7770184', '7806758', '7877611', '7922581', '2003/0018531', '2003/0083936', '2005/0055236', '2005/0203771', '2006/0033625', '2006/0052888', '2006/0059032', '2008/0306790', '2008/0313052', '2008/0313122', '2009/0024481', '2009/0030797', '2009/0030798', '2009/0125380', '2009/0125394', '2009/0125396', '2009/0132344', '2009/0182630', '2009/0182677']"
280,8005765,0,2011-08-23,6,3,"['5581297', '5895453', '6069655', '6075560', '6317152', '6323897', '6330025', '6366311', '6385772', '6438696', '6456335', '6879808', '2001/0052933', '2001/0054110', '2002/0051059', '2002/0145666', '2003/0012437']"
281,8005066,2,2011-08-23,4,1,['NULL']
282,7983996,0,2011-07-19,1,2,"['6112304', '6192512', '6560592', '2006/0149582', '2007/0130098']"
283,7982117,14,2011-07-19,8,1,['NULL']
284,7978085,7,2011-07-12,4,1,"['5764283', '6611206', '6968294', '7200266', '7248933', '7307523', '7432810', '2003/0191406', '2004/0021569', '2004/0044293', '2004/0135694', '2004/0174264', '2006/0190419', '2007/0139207']"
285,7970701,107,2011-06-28,11,1,"['3657702', '3950733', '4044243', '4254474', 'RE30579', 'RE30580', '4305059', '4326259', '4485300', '4510382', '4528643', '4578530', '4594663', '4734564', '4734858', '4755935', '4755940', '4760604', '4792968', '4795890', '4799156', '4812628', '4827508', '4845739', '4893330', '4897811', '4922521', '4935870', '4947028', '4949257', '4958375', '4977595', '4982346', '4992940', '5025373', '5060153', '5077607', '5175682', '5177342', '5206488', '5220501', '5231570', '5247575', '5253341', '5255342', '5291550', '5305195', '5311594', '5321751', '5335265', '5336870', '5341429', '5347632', '5351186', '5351293', '5351296', '5377269', '5383113', '5386104', '5398300', '5414833', '5420405', '5471627', '5475585', '5479574', '5491817', '5500513', '5511122', '5515307', '5530438', '5542054', '5557518', '5559895', '5590197', '5596642', '5596643', '5604802', '5608801', '5621797', '5623547', '5627972', '5629982', '5642419', '5671280', '5675713', '5696907', '5696909', '5701398', '5703949', '5704018', '5708422', '5710887', '5724424', '5729594', '5732400', '5745654', '5757917', '5758327', '5768478', '5790645', '5802256', '5802497', '5805686', '5809144', '5812668', '5815657', '5819226', '5822737', '5826245', '5832465', '5850442', '5870473', '5875236', '5878139', '5878337', '5884289', '5897621', '5899980', '5905736', '5940529', '5940809', '5953710', '5970469', '5988497', '6000608', '6029154', '6078904', '6094643', '6163604', '6182070', '6189005', '6216153', '6225999', '6278997', '6289452', '6295326', '6308148', '6321095', '6330546', '6336108', '6339423', '6345265', '6363488', '6389402', '6405179', '6418436', '6430539', '6453353', '6490624', '6529888', '6536037', '6577336', '6593963', '6609118', '6611598', '6629081', '6642956', '6654054', '6714918', '6728884', '6732151', '6779016', '6788647', '6829635', '6873877', '6981050', '7069234', '7089428', '7096192', '7167844', '7251624', '7356503', '7376618', '7403922', '7418417', '2001/0029496', '2002/0078381', '2002/0128960', '2003/0014379', '2003/0018549', '2003/0023543', '2003/0069820', '2003/0097292', '2004/0054619', '2004/0064401']"
