,PN,REF,ISD,CPC,IPC,b_cits
50,5274560,345,1993-12-28,2,4,"['4242731', '4502123', '4630209', '4677429', '4679147', '4758959', '4796189', '4797924', '4827520', '4829578', '4882696', '4907159', '4954958', '4984168', '5041983', '5089826', '5115399', '5126941']"
51,5259067,10,1993-11-02,2,2,"['4884218', '4908778']"
52,5218669,12,1993-06-08,1,3,"['4628435', '4648044', '4649515', '4748439', '4752890', '4754410', '4783752', '4815005', '4839822']"
53,5202526,15,1993-04-13,4,6,['NULL']
54,5182793,79,1993-01-26,2,3,['4935877']
55,5157668,49,1992-10-20,3,4,"['4242751', '4459695', '4591938', '4613940', '4635208', '4651284', '4709366', '4766595', '4791357', '4827428']"
56,5097510,79,1992-03-17,2,3,['NULL']
57,5073862,93,1991-12-17,15,3,['NULL']
58,5058113,12,1991-10-15,6,6,['NULL']
59,5022497,26,1991-06-11,11,3,"['3857465', '4023135', '4030572', '4112419', '4244450', '4303851', '4305479', '4323142', '4330836', '4363381', '4411338', '4458787', '4473134', '4499975', '4503941', '4523665', '4524418', '4536842', '4542463', '4553639', '4838384']"
60,4999833,84,1991-03-12,9,4,"['4320500', '4601586', '4670848', '4779208']"
61,4979126,75,1990-12-18,1,3,['NULL']
62,4974191,427,1990-11-27,3,2,"['3388381', '3614744', '4254476', '4270182', '4286330', '4502128', '4507750']"
63,4967337,58,1990-10-30,5,5,['NULL']
64,6092058,72,2000-07-18,10,2,"['5649061', '5687291', '5813993']"
65,6085184,72,2000-07-04,1,3,"['4874784', '4891766', '4931950', '4964077', '4977529', '5002491', '5170464', '5189402', '5208745', '5208898', '5239617', '5267865', '5310349', '5311422', '5317688', '5359701', '5372507', '5441415', '5533903', '5535422', '5537141', '5539869', '5566291', '5576844', '5577186', '5597312', '5616033', '5644686', '5673369', '5690496', '5696885', '5720007', '5727950', '5772446', '5788508', '5791907', '5799292', '5806056', '5810747', '5822745', '5823781', '5823788', '5835683', '5868575', '5870768', '5889845']"
66,6073127,81,2000-06-06,1,3,"['4874784', '4891766', '4931950', '4964077', '5170464', '5208745', '5208898', '5239617', '5311422', '5317688', '5359701', '5533903', '5535422', '5539869', '5577186', '5597312', '5644686', '5673369', '5690496', '5696885', '5720007', '5799292', '5806056', '5810747', '5822745', '5823781', '5870768']"
67,6067538,91,2000-05-23,2,3,"['4977529', '5002491', '5189402', '5267865', '5310349', '5372507', '5441415', '5533903', '5537141', '5539869', '5566291', '5576844', '5577186', '5597312', '5616033', '5644686', '5673369', '5690496', '5696885', '5720007', '5727950', '5772446', '5788508', '5791907', '5799292', '5806056', '5810747', '5822745', '5823781', '5823788', '5835683', '5868575', '5870768', '5889845']"
68,6067537,57,2000-05-23,2,3,"['4622013', '4977529', '5002491', '5189402', '5267865', '5310349', '5372507', '5441415', '5533903', '5537141', '5539869', '5566291', '5576844', '5577186', '5597312', '5616033', '5644686', '5644727', '5673369', '5690496', '5696885', '5720007', '5727950', '5772446', '5788508', '5791907', '5799292', '5806056', '5810747', '5822745', '5823781', '5823788', '5835683', '5868575', '5870768', '5875437', '5889845']"
69,6064998,50,2000-05-16,2,3,"['4977529', '5002491', '5189402', '5239617', '5267865', '5310349', '5372507', '5441415', '5533903', '5537141', '5539869', '5566291', '5576844', '5577186', '5597312', '5616033', '5644686', '5673369', '5690496', '5696885', '5720007', '5727950', '5772446', '5788508', '5791907', '5799292', '5806056', '5810747', '5822745', '5823781', '5823788', '5835683', '5868575', '5870768', '5889845', '5893123']"
70,6058260,103,2000-05-02,2,3,['5669063']
71,6055531,250,2000-04-25,20,11,['NULL']
72,6054928,230,2000-04-25,6,2,['NULL']
73,6047279,41,2000-04-04,3,2,"['4999833', '5159685', '5175800', '5317742', '5608720', '5628011', '5661668', '5715371', '5764955', '5774689', '5870667', '5920565']"
74,6032142,10,2000-02-29,1,3,"['5214715', '5325031']"
75,6032141,64,2000-02-29,3,3,"['4977529', '5002491', '5189402', '5267865', '5310349', '5372507', '5441415', '5533903', '5537141', '5539869', '5566291', '5576844', '5577186', '5597312', '5616033', '5644686', '5673369', '5690496', '5696885', '5720007', '5727950', '5772446', '5788508', '5791907', '5799292', '5806056', '5810747', '5822745', '5823781', '5823788', '5835683', '5868575', '5870768', '5889845']"
76,6029159,72,2000-02-22,2,3,"['4622013', '4977529', '5002491', '5189402', '5267865', '5310349', '5372507', '5441415', '5533903', '5537141', '5539869', '5566291', '5576844', '5577186', '5597312', '5616033', '5644686', '5644727', '5673369', '5690496', '5696885', '5720007', '5727950', '5772446', '5788508', '5791907', '5799292', '5806056', '5810747', '5822745', '5823781', '5823788', '5835683', '5868575', '5870768', '5875437', '5889845']"
77,6029158,48,2000-02-22,2,4,"['4874784', '4891766', '4931950', '4964077', '4977529', '5002491', '5170464', '5189402', '5208745', '5208898', '5239617', '5267865', '5310349', '5311422', '5317688', '5359701', '5372507', '5441415', '5533903', '5535422', '5537141', '5539869', '5566291', '5576844', '5577186', '5597312', '5616033', '5644686', '5673369', '5690496', '5696885', '5720007', '5727950', '5772446', '5788508', '5791907', '5799292', '5806056', '5810747', '5822745', '5823781', '5823788', '5835683', '5868575', '5870768', '5889845']"
78,6029156,45,2000-02-22,1,3,"['4977529', '5002491', '5189402', '5267865', '5310349', '5372507', '5383922', '5441415', '5533903', '5537141', '5539869', '5566291', '5576844', '5577186', '5597312', '5616033', '5644686', '5673369', '5690496', '5696885', '5720007', '5727950', '5772446', '5788508', '5791907', '5799292', '5806056', '5810747', '5822745', '5823781', '5823788', '5835683', '5868575', '5870768', '5889845']"
79,6026395,28,2000-02-15,20,2,"['4972349', '5265065', '5278980', '5293616', '5303361', '5375235', '5392428', '5557722', '5598557']"
80,6026386,42,2000-02-15,1,3,"['4874784', '4891766', '4931950', '4964077', '4977529', '5002491', '5170464', '5189402', '5208745', '5208898', '5239617', '5267865', '5310349', '5311422', '5317688', '5359701', '5372507', '5441415', '5533903', '5535422', '5537141', '5539869', '5566291', '5576844', '5577186', '5597312', '5616033', '5644686', '5673369', '5690496', '5696885', '5720007', '5727950', '5772446', '5788508', '5791907', '5799292', '5806056', '5810747', '5822745', '5823781', '5823788', '5835683', '5868575', '5870768', '5889845']"
81,6023692,61,2000-02-08,1,3,"['4977529', '5002491', '5189402', '5267865', '5310349', '5372507', '5441415', '5533903', '5537141', '5539869', '5566291', '5576844', '5577186', '5597312', '5616033', '5644686', '5673369', '5690496', '5696885', '5720007', '5727950', '5772446', '5788508', '5791907', '5799292', '5806056', '5810747', '5822745', '5823781', '5823788', '5835683', '5868575', '5870768', '5889845']"
82,6023691,54,2000-02-08,2,4,"['4977529', '5002491', '5189402', '5267865', '5310349', '5372507', '5441415', '5533903', '5537141', '5539869', '5566291', '5576844', '5577186', '5597312', '5616033', '5644686', '5673369', '5690496', '5696885', '5720007', '5727950', '5772446', '5788508', '5791907', '5799292', '5806056', '5810747', '5822745', '5823781', '5823788', '5835683', '5868575', '5870768', '5889845']"
